time,SWD,TSLWU
2025-02-02 13:10:00.004577636,328.65845,5.16156
2025-02-02 13:19:59.995422363,309.05008,4.917755
2025-02-02 13:30:00.000000000,310.65457,5.1269226
2025-02-02 13:40:00.004577636,290.27774,4.9888306
2025-02-02 13:49:59.995422363,291.53964,4.9819946
2025-02-02 14:00:00.000000000,277.22632,4.8069763
2025-02-02 14:10:00.004577636,259.32388,4.6836243
2025-02-02 14:19:59.995422363,237.16492,4.2772217
2025-02-02 14:30:00.000000000,217.52213,3.9091492
2025-02-02 14:40:00.004577636,199.64957,3.4940796
2025-02-02 14:49:59.995422363,181.52638,3.140564
2025-02-02 15:00:00.000000000,161.5691,2.7037659
2025-02-02 15:10:00.004577636,142.444,2.2108765
2025-02-02 15:19:59.995422363,123.88222,1.7187805
2025-02-02 15:30:00.000000000,104.66398,0.9878845
2025-02-02 15:40:00.004577636,85.88857,0.37561035
2025-02-02 15:49:59.995422363,65.61933,-0.15603638
2025-02-02 16:00:00.000000000,45.202843,-0.8310547
2025-02-02 16:10:00.004577636,24.438608,-1.4206848
2025-02-02 16:19:59.995422363,12.775789,-1.9710693
2025-02-02 16:30:00.000000000,6.8187075,-2.5243835
2025-02-02 16:40:00.004577636,1.8527712,-3.00708
2025-02-02 16:49:59.995422363,0.0,-3.4160156
2025-02-02 17:00:00.000000000,0.0,-3.7471313
2025-02-02 17:10:00.004577636,0.0,-3.9162903
2025-02-02 17:19:59.995422363,0.0,-4.0872498
2025-02-02 17:30:00.000000000,0.0,-4.1285706
2025-02-02 17:40:00.004577636,0.0,-4.0245056
2025-02-02 17:49:59.995422363,0.0,-3.7306213
2025-02-02 18:00:00.000000000,0.0,-4.101837
2025-02-02 18:10:00.004577636,0.0,-4.2208557
2025-02-02 18:19:59.995422363,0.0,-4.296295
2025-02-02 18:30:00.000000000,0.0,-4.646881
2025-02-02 18:40:00.004577636,0.0,-4.7196045
2025-02-02 18:49:59.995422363,0.0,-4.7261963
2025-02-02 19:00:00.000000000,0.0,-4.6884766
2025-02-02 19:10:00.004577636,0.0,-5.0507812
2025-02-02 19:19:59.995422363,0.0,-5.340393
2025-02-02 19:30:00.000000000,0.0,-5.5166016
2025-02-02 19:40:00.004577636,0.0,-5.7431335
2025-02-02 19:49:59.995422363,0.0,-5.9457703
2025-02-02 20:00:00.000000000,0.0,-6.123749
2025-02-02 20:10:00.004577636,0.0,-6.3466187
2025-02-02 20:19:59.995422363,0.0,-6.555725
2025-02-02 20:30:00.000000000,0.0,-6.7398987
2025-02-02 20:40:00.004577636,0.0,-6.848572
2025-02-02 20:49:59.995422363,0.0,-7.032318
2025-02-02 21:00:00.000000000,0.0,-7.1536865
2025-02-02 21:10:00.004577636,0.0,-6.7197876
2025-02-02 21:19:59.995422363,0.0,-6.9978943
2025-02-02 21:30:00.000000000,0.0,-7.17276
2025-02-02 21:40:00.004577636,0.0,-7.187195
2025-02-02 21:49:59.995422363,0.0,-7.335205
2025-02-02 22:00:00.000000000,0.0,-7.3845825
2025-02-02 22:10:00.004577636,0.0,-7.128937
2025-02-02 22:19:59.995422363,0.0,-6.9257507
2025-02-02 22:30:00.000000000,0.0,-7.427948
2025-02-02 22:40:00.004577636,0.0,-7.5071716
2025-02-02 22:49:59.995422363,0.0,-7.4021606
2025-02-02 23:00:00.000000000,0.0,-7.534424
2025-02-02 23:10:00.004577636,0.0,-7.5526733
2025-02-02 23:19:59.995422363,0.0,-7.646576
2025-02-02 23:30:00.000000000,0.0,-7.84787
2025-02-02 23:40:00.004577636,0.0,-7.700653
2025-02-02 23:49:59.995422363,0.0,-7.9787903
2025-02-03 00:00:00.000000000,0.0,-7.973755
2025-02-03 00:10:00.004577636,0.0,-6.963806
2025-02-03 00:19:59.995422363,0.0,-7.22406
2025-02-03 00:30:00.000000000,0.0,-6.4793396
2025-02-03 00:40:00.004577636,0.0,-7.2850037
2025-02-03 00:49:59.995422363,0.0,-7.306488
2025-02-03 01:00:00.000000000,0.0,-6.924225
2025-02-03 01:10:00.004577636,0.0,-7.541565
2025-02-03 01:19:59.995422363,0.0,-8.121307
2025-02-03 01:30:00.000000000,0.0,-8.249481
2025-02-03 01:40:00.004577636,0.0,-8.28363
2025-02-03 01:49:59.995422363,0.0,-8.330048
2025-02-03 02:00:00.000000000,0.0,-8.275299
2025-02-03 02:10:00.004577636,0.0,-8.321991
2025-02-03 02:19:59.995422363,0.0,-8.043152
2025-02-03 02:30:00.000000000,0.0,-7.3300476
2025-02-03 02:40:00.004577636,0.0,-5.590912
2025-02-03 02:49:59.995422363,0.0,-5.1759033
2025-02-03 03:00:00.000000000,0.0,-6.19635
2025-02-03 03:10:00.004577636,0.0,-7.693756
